Query	Target	Dis-similarity Probability
4V67	4V67	0.0
4V67	4V9M	2.764
4V67	4V9L	2.782
4V67	4V9H	3.063
4V67	4V6F	1.739
4V67	4V9K	2.751
4V67	4V8O	3.773
4V67	4V9J	2.789
4V67	4V63	0.894
4V67	4V7L	2.125
4V67	4V90	3.14
4V67	4V8U	2.307
4V67	4V51	2.766
4V67	4V5F	2.701
4V9M	4V9M	0.0
4V9M	4V9L	0.369
4V9M	4V9H	1.644
4V9M	4V6F	3.145
4V9M	4V9K	0.391
4V9M	4V8O	3.436
4V9M	4V9J	0.966
4V9M	4V63	3.077
4V9M	4V7L	3.764
4V9M	4V90	1.678
4V9M	4V8U	2.053
4V9M	4V51	4.191
4V9M	4V5F	1.802
4V9L	4V9L	0.0
4V9L	4V9H	1.644
4V9L	4V6F	3.166
4V9L	4V9K	0.412
4V9L	4V8O	3.396
4V9L	4V9J	0.96
4V9L	4V63	3.1
4V9L	4V7L	3.767
4V9L	4V90	1.694
4V9L	4V8U	2.076
4V9L	4V51	4.186
4V9L	4V5F	1.82
4V9H	4V9H	0.0
4V9H	4V6F	3.555
4V9H	4V9K	1.623
4V9H	4V8O	2.842
4V9H	4V9J	1.584
4V9H	4V63	3.336
4V9H	4V7L	3.931
4V9H	4V90	0.86
4V9H	4V8U	2.533
4V9H	4V51	4.29
4V9H	4V5F	2.603
4V6F	4V6F	0.0
4V6F	4V9K	3.149
4V6F	4V8O	4.124
4V6F	4V9J	3.115
4V6F	4V63	1.81
4V6F	4V7L	2.172
4V6F	4V90	3.681
4V6F	4V8U	2.798
4V6F	4V51	2.788
4V6F	4V5F	2.897
4V9K	4V9K	0.0
4V9K	4V8O	3.399
4V9K	4V9J	0.955
4V9K	4V63	3.093
4V9K	4V7L	3.761
4V9K	4V90	1.698
4V9K	4V8U	2.05
4V9K	4V51	4.192
4V9K	4V5F	1.775
4V8O	4V8O	0.0
4V8O	4V9J	2.822
4V8O	4V63	3.97
4V8O	4V7L	4.071
4V8O	4V90	3.037
4V8O	4V8U	4.199
4V8O	4V51	3.786
4V8O	4V5F	4.318
4V9J	4V9J	0.0
4V9J	4V63	3.017
4V9J	4V7L	3.508
4V9J	4V90	1.793
4V9J	4V8U	2.521
4V9J	4V51	3.759
4V9J	4V5F	2.362
4V63	4V63	0.0
4V63	4V7L	1.791
4V63	4V90	3.432
4V63	4V8U	2.616
4V63	4V51	2.402
4V63	4V5F	3.116
4V7L	4V7L	0.0
4V7L	4V90	4.048
4V7L	4V8U	3.503
4V7L	4V51	1.458
4V7L	4V5F	3.897
4V90	4V90	0.0
4V90	4V8U	2.386
4V90	4V51	4.437
4V90	4V5F	2.515
4V8U	4V8U	0.0
4V8U	4V51	4.226
4V8U	4V5F	1.289
4V51	4V51	0.0
4V51	4V5F	4.546
4V5F	4V5F	0.0
